csv_name,db_name,account_id,match_ratio,power_score,target_segment_id,file
斎藤ちはる,ちはる,2432,fuzzy_0.75,8.4,16,TPR_男性50～69_202508.csv
≒JOY,JOY,1595,fuzzy_0.86,8.0,16,TPR_男性50～69_202508.csv
大島美優,大島優子,47,fuzzy_0.75,4.9,16,TPR_男性50～69_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,4.7,16,TPR_男性50～69_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,3.8,16,TPR_男性50～69_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,2.0,16,TPR_男性50～69_202508.csv
IS:SUE,IS：SUE,4648,fuzzy_0.83,0.2,16,TPR_男性50～69_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,0.2,16,TPR_男性50～69_202508.csv
堂本光一（DOMOTO（KinKi Kids））,堂本光一,879,fuzzy_0.89,43.1,12,TPR_女性50～69_202508.csv
堂本剛（DOMOTO（KinKi Kids））,堂本剛,874,fuzzy_0.86,36.2,12,TPR_女性50～69_202508.csv
村上信五（SUPER EIGHT(関ジャニ∞)）,村上信五,1198,fuzzy_0.89,31.6,12,TPR_女性50～69_202508.csv
大倉忠義（SUPER EIGHT(関ジャニ∞)）,大倉忠義,1166,fuzzy_0.89,30.4,12,TPR_女性50～69_202508.csv
横山裕（SUPER EIGHT(関ジャニ∞)),横山裕,880,fuzzy_0.86,30.0,12,TPR_女性50～69_202508.csv
安田章大（SUPER EIGHT(関ジャニ∞)）,安田章大,932,fuzzy_0.89,26.9,12,TPR_女性50～69_202508.csv
丸山隆平（SUPER EIGHT(関ジャニ∞)）,丸山隆平,1002,fuzzy_0.89,26.7,12,TPR_女性50～69_202508.csv
斉藤和義,斉藤和巳,2908,fuzzy_0.75,26.4,12,TPR_女性50～69_202508.csv
長野博,‎長野博,3811,fuzzy_0.86,25.1,12,TPR_女性50～69_202508.csv
武田真一,武田真治,1494,fuzzy_0.75,21.8,12,TPR_女性50～69_202508.csv
市川團十郎(十三代目/市川海老蔵),市川團十郎白猿,1314,fuzzy_0.83,20.2,12,TPR_女性50～69_202508.csv
"Koki,","Kōki,",2677,fuzzy_0.80,15.3,12,TPR_女性50～69_202508.csv
井上貴博,井上祐貴,3738,fuzzy_0.75,14.9,12,TPR_女性50～69_202508.csv
生野陽子,南野陽子,1174,fuzzy_0.75,12.9,12,TPR_女性50～69_202508.csv
田村真子,田村真佑,4609,fuzzy_0.75,12.4,12,TPR_女性50～69_202508.csv
TAKAHIRO（上野隆博）,EXILETAKAHIRO,604,fuzzy_0.76,7.6,12,TPR_女性50～69_202508.csv
≒JOY,JOY,1595,fuzzy_0.86,7.3,12,TPR_女性50～69_202508.csv
斎藤ちはる,ちはる,2432,fuzzy_0.75,6.4,12,TPR_女性50～69_202508.csv
大島美優,大島優子,47,fuzzy_0.75,5.6,12,TPR_女性50～69_202508.csv
B&ZAI,B＆ZAI,4210,fuzzy_0.80,5.6,12,TPR_女性50～69_202508.csv
’＝LOVE,＝LOVE,4564,fuzzy_0.91,2.9,12,TPR_女性50～69_202508.csv
IS:SUE,IS：SUE,4648,fuzzy_0.83,0.9,12,TPR_女性50～69_202508.csv
増田梨沙,織田梨沙,2891,fuzzy_0.75,0.4,12,TPR_女性50～69_202508.csv
